date,GDPPC,FR,FLFP
2019,,,
2018,62794.5856522398,,57.0783996582031
2017,59927.9298339535,1.7655,57.0351982116699
2016,57904.2019610641,1.8205,56.8009986877441
2015,56803.4724334919,1.8435,56.676700592041
2014,55032.9579979166,1.8625,56.9735984802246
2013,53106.9097703155,1.8575,57.2058982849121
2012,51603.4972614412,1.8805,57.6841011047363
2011,49883.1139837344,1.8945,58.1038017272949
2010,48466.8233750801,1.931,58.622501373291
2009,47099.9804711343,2.002,59.1944999694824
2008,48382.5584490552,2.072,59.4711990356445
2007,47975.9676758856,2.12,59.3075981140137
2006,46298.7314440927,2.108,59.3627014160156
2005,44114.7477776705,2.057,59.255298614502
2004,41712.8010675545,2.0515,59.1641006469727
2003,39496.4858751381,2.0475,59.5050010681152
2002,38023.1611144021,2.0205,59.6217002868652
2001,37133.2428088526,2.0305,59.7871017456055
2000,36334.9087770589,2.056,59.9416007995605
1999,34513.5615037271,2.0075,60.0341987609863
1998,32853.6769849268,1.999,59.8466987609863
1997,31459.139002483,1.971,59.8977012634277
1996,29967.7127181749,1.976,59.3428001403809
1995,28690.8757013347,1.978,59.0477981567383
1994,27694.853416234,2.0015,58.8618011474609
1993,26387.2937338171,2.0195,57.9000015258789
1992,25418.9907763319,2.046,57.7999992370605
1991,24342.2589048189,2.0625,57.4000015258789
1990,23888.6000088133,2.081,57.5
1989,22857.1544330056,2.014,57.4000015258789
1988,21417.0119305191,1.934,56.5999984741211
1987,20038.9410992658,1.872,56.0
1986,19071.2271949295,1.8375,55.2999992370605
1985,18236.8277265009,1.844,54.5
1984,17121.2254849995,1.8065,53.5999984741211
1983,15543.8937174925,1.799,52.9000015258789
1982,14433.787727053,1.8275,52.5999984741211
1981,13976.1097504641,1.812,52.0999984741211
1980,12574.7915062163,1.8395,51.5
1979,11674.1863100131,1.808,50.9000015258789
1978,10564.9482220275,1.76,50.0
1977,9452.57651914511,1.79,48.4000015258789
1976,8592.25353727612,1.738,47.2999992370605
1975,7801.45666356443,1.774,46.2999992370605
1974,7225.69135952566,1.835,45.7000007629395
1973,6726.35895596695,1.879,44.7000007629395
1972,6094.01798986165,2.01,43.9000015258789
1971,5609.38259952519,2.266,43.4000015258789
1970,5234.2966662115,2.48,43.2999992370605
1969,5032.14474262003,2.456,42.7000007629395
1968,4695.92339043178,2.464,41.5999984741211
1967,4336.42658722171,2.558,41.0999984741211
1966,4146.31664631665,2.721,40.2999992370605
1965,3827.52710972039,2.913,39.2999992370605
1964,3573.94118474743,3.19,38.7000007629395
1963,3374.51517105082,3.319,38.2999992370605
1962,3243.84307754988,3.461,37.9000015258789
1961,3066.56286916615,3.62,38.0999984741211
1960,3007.12344537862,3.654,37.7000007629395
