Country,Logistics cargo-handling,Logistics storage and warehouse,Logistics freight forwarding,Logistics customs brokerage,Accounting,Architecture,Engineering,Legal,Motion pictures,Broadcasting,Sound recording,Telecom,Air transport,Maritime transport,Road freight transport,Rail freight transport,Courier,Distribution,Commercial banking,Insurance,Computer,Construction
Australia,0.22,0.17,0.18,0.18,0.19,0.16,0.14,0.14,0.16,0.21,0.15,0.19,0.3,0.19,0.13,0.16,0.38,0.15,0.18,0.19,0.17,0.21
Austria,0.2,0.25,0.23,0.21,0.3,0.28,0.29,0.38,0.24,0.38,0.28,0.15,0.39,,0.21,0.24,0.2,0.17,0.21,0.24,0.27,0.22
Belgium,0.24,0.23,0.22,0.23,0.4,0.31,0.23,0.28,0.23,0.24,0.28,0.2,0.46,0.26,0.21,0.25,0.27,0.23,0.23,0.21,0.29,0.27
Brazil,0.36,0.33,0.27,0.3,0.31,0.28,0.27,0.32,0.31,0.5,0.23,0.28,0.28,0.33,0.25,0.28,0.55,0.23,0.47,0.38,0.31,0.26
Canada,0.22,0.17,0.15,0.15,0.23,0.18,0.15,0.17,0.2,0.31,0.16,0.32,0.38,0.18,0.16,0.16,0.38,0.25,0.17,0.2,0.17,0.23
Chile,0.23,0.19,0.19,0.34,0.1,0.13,0.16,0.16,0.19,0.29,0.19,0.23,0.17,0.2,0.13,0.23,0.49,0.13,0.21,0.17,0.17,0.16
China,0.41,0.36,0.34,0.34,0.74,0.23,0.25,0.52,0.61,0.71,0.5,0.68,0.48,0.37,0.27,0.3,0.88,0.27,0.41,0.44,0.34,0.34
Colombia,0.31,0.23,0.25,0.26,0.18,0.17,0.19,0.17,0.23,0.65,0.2,0.2,0.27,0.25,0.17,0.22,0.24,0.14,0.28,0.23,0.22,0.23
Costa Rica,0.35,0.3,0.28,0.29,0.36,0.23,0.23,0.16,0.18,0.25,0.2,0.22,0.28,0.27,0.35,0.32,0.19,0.18,0.21,0.2,0.24,0.21
Czech Republic,0.13,0.13,0.12,0.14,0.14,0.16,0.19,0.29,0.13,0.18,0.16,0.15,0.41,,0.13,0.17,0.14,0.12,0.13,0.12,0.16,0.16
Denmark,0.14,0.15,0.12,0.15,0.23,0.15,0.16,0.28,0.15,0.2,0.21,0.11,0.38,0.21,0.19,0.17,0.18,0.14,0.16,0.16,0.19,0.19
Estonia,0.19,0.15,0.17,0.17,0.31,0.39,0.2,0.46,0.2,0.23,0.18,0.21,0.39,0.27,0.18,0.23,0.19,0.14,0.18,0.17,0.24,0.21
Finland,0.26,0.26,0.21,0.22,0.22,0.2,0.21,0.17,0.19,0.24,0.21,0.18,0.44,0.27,0.25,0.28,0.22,0.23,0.21,0.24,0.25,0.21
France,0.17,0.17,0.13,0.14,0.41,0.33,0.13,0.58,0.21,0.23,0.17,0.14,0.37,0.19,0.18,0.2,0.12,0.18,0.16,0.11,0.16,0.15
